-83.910896     30.201700
-83.908302     31.958700
20.0   3.511
21.0   3.555
22.0   3.595
23.0   3.653
24.0   3.751
25.0   3.920
26.0   3.956
27.0   3.955
28.0   3.950
29.0   3.845
30.0   3.873
31.0   3.888
32.0   3.904
33.0   3.931
34.0   3.963
35.0   3.990
36.0   4.004
37.0   4.016
38.0   4.027
39.0   4.042
40.0   4.055
41.0   4.068
42.0   4.082
43.0   4.109
44.0   4.165
45.0   4.205
46.0   4.190
47.0   4.155
48.0   4.129
49.0   4.110
50.0   4.095
51.0   4.070
52.0   4.033
53.0   4.026
54.0   4.068
55.0   4.098
56.0   4.114
57.0   4.125
58.0   4.132
59.0   4.136
60.0   4.139
61.0   4.140
62.0   4.139
63.0   4.146
64.0   4.160
65.0   4.178
66.0   4.176
67.0   4.140
68.0   4.091
69.0   4.049
70.0   4.031
71.0   4.033
72.0   4.042
73.0   4.049
74.0   4.055
75.0   4.059
76.0   4.060
77.0   4.062
78.0   4.062
79.0   4.061
80.0   4.055
81.0   4.036
82.0   3.975
83.0   3.889
84.0   3.837
85.0   3.852
86.0   3.926
87.0   4.029
88.0   4.101
89.0   4.130
90.0   4.145
91.0   4.158
92.0   4.171
