-83.910896     30.201700
-83.888496     32.009499
20.0   3.517
21.0   3.556
22.0   3.591
23.0   3.648
24.0   3.746
25.0   3.932
26.0   3.966
27.0   3.964
28.0   3.961
29.0   3.843
30.0   3.871
31.0   3.886
32.0   3.902
33.0   3.928
34.0   3.960
35.0   3.987
36.0   4.001
37.0   4.011
38.0   4.022
39.0   4.036
40.0   4.048
41.0   4.060
42.0   4.071
43.0   4.103
44.0   4.158
45.0   4.196
46.0   4.183
47.0   4.149
48.0   4.125
49.0   4.110
50.0   4.096
51.0   4.077
52.0   4.034
53.0   4.022
54.0   4.060
55.0   4.089
56.0   4.107
57.0   4.118
58.0   4.126
59.0   4.131
60.0   4.133
61.0   4.133
62.0   4.135
63.0   4.137
64.0   4.146
65.0   4.161
66.0   4.160
67.0   4.127
68.0   4.085
69.0   4.048
70.0   4.030
71.0   4.031
72.0   4.042
73.0   4.054
74.0   4.067
75.0   4.076
76.0   4.084
77.0   4.089
78.0   4.092
79.0   4.093
80.0   4.086
81.0   4.065
82.0   3.998
83.0   3.928
84.0   3.919
85.0   3.947
86.0   3.993
87.0   4.065
88.0   4.127
89.0   4.158
90.0   4.175
91.0   4.188
92.0   4.200
93.0   4.220
94.0   4.235
